,VA,AV,BA,FI,HS,IM
144,0.3083422,0.13488542,0.079865836,0.14437872,0.2664215,0.06610631
145,0.1970371,0.12245143,0.18260482,0.15346551,0.20108739,0.1433537
146,0.11457552,0.09132563,0.50965184,0.13927895,0.07381591,0.071352184
147,0.076286554,0.2288176,0.21325633,0.26532757,0.08404299,0.132269
148,0.051579844,0.28036517,0.08470779,0.17178681,0.1840629,0.2274975
149,0.13491242,0.22208616,0.061822873,0.267802,0.06676974,0.24660684
150,0.22703972,0.123395756,0.17696764,0.33722025,0.049648933,0.085727714
151,0.12829109,0.27259234,0.08749365,0.067749575,0.2253593,0.21851407
152,0.16152167,0.05113621,0.09580247,0.20117442,0.28350568,0.20685959
153,0.24660365,0.09974886,0.2293264,0.062236033,0.18369322,0.17839181
154,0.1032571,0.23596847,0.16147485,0.2481021,0.1667558,0.084441654
155,0.17796557,0.08461191,0.15184285,0.17733422,0.2660288,0.14221665
156,0.103241205,0.11330288,0.18060136,0.34676445,0.077921666,0.17816848
157,0.08163516,0.2101398,0.12293549,0.20634411,0.15300176,0.22594365
158,0.12807272,0.21794274,0.14933017,0.16366847,0.24706477,0.093921095
159,0.27248764,0.15768622,0.25333372,0.061453473,0.07870999,0.176329
160,0.13869996,0.29386675,0.06388964,0.2731592,0.09864117,0.13174327
161,0.082779095,0.14613292,0.11924666,0.05589009,0.287998,0.30795324
162,0.19701256,0.14431743,0.110466875,0.19593301,0.05386234,0.2984077
163,0.16289885,0.08782594,0.093049064,0.35354397,0.09398374,0.20869844
164,0.07951742,0.104092754,0.072734915,0.42191282,0.22838785,0.09335427
165,0.23698002,0.2436449,0.20031342,0.12555271,0.13905792,0.054451056
166,0.14991291,0.15945104,0.11110073,0.11024545,0.22806141,0.24122852
167,0.06519566,0.07999458,0.08858927,0.2634454,0.32806933,0.17470579
168,0.071688466,0.23045395,0.14357528,0.29183152,0.15785983,0.10459099
169,0.13933751,0.17000757,0.21938947,0.2573328,0.15760647,0.056326233
170,0.1257945,0.34239137,0.19444273,0.08935215,0.066227816,0.18179138
171,0.25697857,0.3471787,0.11484483,0.08472634,0.1388082,0.05746334
172,0.11064544,0.24585973,0.27146295,0.1348027,0.18831915,0.048909992
173,0.053371407,0.3425333,0.100621045,0.12778632,0.115385644,0.2603023
174,0.05150321,0.24797003,0.20827226,0.12901025,0.20390977,0.15933444
175,0.1207759,0.15966111,0.051771913,0.1667005,0.14262524,0.3584654
176,0.058755044,0.2111587,0.054816816,0.19401918,0.14202535,0.3392249
177,0.29439116,0.1302292,0.18207806,0.21675333,0.09862527,0.077922955
178,0.25717625,0.052556876,0.07633736,0.09715757,0.41819122,0.09858077
179,0.14322159,0.15148123,0.27577114,0.29230717,0.05538247,0.081836365
180,0.07178831,0.07756752,0.17732596,0.090260215,0.28311828,0.2999397
181,0.08455979,0.20331213,0.23137532,0.11124224,0.08035163,0.28915888
182,0.19817173,0.14002776,0.2253431,0.061558943,0.31417185,0.06072661
183,0.15718123,0.16189271,0.094086856,0.41412947,0.08852945,0.084180325
184,0.14923781,0.13891184,0.17347443,0.24696158,0.1466977,0.14471662
185,0.059349876,0.21399829,0.25321007,0.20990314,0.10527179,0.15826678
186,0.068385325,0.06501672,0.16276124,0.19644432,0.04549685,0.4618956
187,0.23345385,0.13224089,0.20370926,0.23916912,0.12274739,0.06867954
188,0.052255087,0.22621924,0.23480022,0.15761144,0.14470625,0.18440774
189,0.15458176,0.09139688,0.24317919,0.18427923,0.255702,0.07086098
190,0.27010283,0.14308417,0.16092485,0.22240835,0.1180748,0.08540493
191,0.121842675,0.25545716,0.21807471,0.1283133,0.21175209,0.06456005
