,HS,VA3,VA1,FI2,FI1,IM1,IM2,VA2,AV2,PE2,AV1,AV3,IM4,BA,PE1,IM3
66,0.10217774,0.057206154,0.08583481,0.027908407,0.050274193,0.0751434,0.03944354,0.05740114,0.06656364,0.080233954,0.065790035,0.0737785,0.033213127,0.03587414,0.0812195,0.06793772
67,0.08466774,0.051671203,0.042495463,0.052259315,0.11569058,0.081320256,0.080046654,0.024552435,0.031285048,0.037831064,0.0468363,0.042495962,0.06286154,0.06783149,0.08736408,0.090790845
68,0.13024835,0.032373223,0.044482578,0.03168935,0.11305559,0.06863833,0.083671205,0.037309915,0.057118714,0.058612455,0.04584745,0.061026048,0.053162444,0.041460495,0.081094585,0.060209274
69,0.12632996,0.026640125,0.0322749,0.03609729,0.098107874,0.07229318,0.07513735,0.0493737,0.04116371,0.11240563,0.037658483,0.07910431,0.043781985,0.04732952,0.070393614,0.051908404
70,0.10272407,0.057017922,0.03643172,0.052727822,0.09184917,0.050788682,0.04874131,0.038263068,0.04880693,0.05500483,0.07000581,0.078143924,0.05862215,0.06984827,0.060642388,0.080381915
71,0.113411784,0.07555299,0.030477086,0.10369712,0.16286789,0.038856823,0.05320072,0.034045026,0.06307018,0.03561133,0.060141724,0.05235057,0.081870005,0.037505697,0.029476225,0.027864806
72,0.04515664,0.042231455,0.05846403,0.0742211,0.08983662,0.063837826,0.08104434,0.06473277,0.07720968,0.056717023,0.06741047,0.07088523,0.03845255,0.046950642,0.031208657,0.09164097
73,0.13234529,0.03107208,0.06695365,0.039486554,0.07813796,0.07204007,0.07818448,0.07454733,0.046306696,0.082411624,0.050287943,0.055027384,0.03142146,0.03913678,0.06857536,0.054065306
74,0.095572,0.0783849,0.06411969,0.03452268,0.06564646,0.06237967,0.044693124,0.052863214,0.04179651,0.06407409,0.07345592,0.058168218,0.04684032,0.050390262,0.05229953,0.11479341
75,0.05933361,0.045944586,0.07687,0.05635364,0.07601214,0.09131641,0.08216209,0.04494651,0.04467764,0.049411833,0.046987593,0.06309779,0.03293482,0.06683799,0.080350436,0.08276291
76,0.10940782,0.041762438,0.04987024,0.0542307,0.08253881,0.10744303,0.09402893,0.04943486,0.059541058,0.0688999,0.065944694,0.039105397,0.059615493,0.01855827,0.046804056,0.052814275
77,0.1262491,0.033571932,0.02788438,0.08304667,0.11162332,0.031868976,0.041853312,0.07777635,0.070049934,0.11295873,0.07633992,0.05022488,0.04603653,0.036467176,0.038383275,0.035665512
78,0.07992039,0.04506126,0.05251466,0.047991585,0.08797848,0.059285253,0.0788801,0.05140565,0.04946798,0.05351129,0.06703198,0.041613244,0.059222102,0.071781,0.06120007,0.09313492
79,0.14851765,0.06559085,0.044385146,0.03212225,0.09263346,0.043230698,0.030607631,0.039219994,0.038841207,0.07520165,0.05398069,0.0653347,0.0466592,0.06298613,0.106803216,0.053885564
80,0.113686085,0.03237541,0.050014984,0.04233089,0.055574607,0.038713645,0.03992689,0.08066056,0.08583203,0.081540965,0.10014596,0.08134212,0.028771395,0.07461384,0.04956545,0.044905186
81,0.08886441,0.053188697,0.08063042,0.025604941,0.046708424,0.08118028,0.052948605,0.06756417,0.05942269,0.07708547,0.073868684,0.036701515,0.058482524,0.034272265,0.08610046,0.07737643
82,0.06278672,0.08613163,0.04633877,0.06219526,0.12448639,0.04554425,0.040038493,0.041842107,0.03200082,0.08323601,0.030563409,0.08565921,0.050372526,0.08070123,0.08642081,0.041682392
83,0.111100115,0.058817957,0.06561772,0.049537044,0.11465601,0.054059714,0.052162617,0.06542892,0.05172888,0.08263397,0.058989212,0.03981854,0.04111837,0.030381536,0.057427377,0.06652202
84,0.14884053,0.03204952,0.0509519,0.010809317,0.0331558,0.08847388,0.054509312,0.036158364,0.026277943,0.057422277,0.048963416,0.045146357,0.052420367,0.08542008,0.13223104,0.097169906
85,0.11290134,0.054727793,0.05137849,0.05421855,0.110965006,0.062129397,0.059229463,0.037797417,0.05022365,0.049861874,0.08621403,0.030114144,0.05324417,0.03431501,0.0531451,0.09953459
