,VA,AV,BA,FI,HS,IM
297,0.20660317,0.12299537,0.14956132,0.03298283,0.24326186,0.2445955
298,0.19423111,0.08758703,0.0332967,0.37397468,0.21599963,0.094910815
299,0.11808871,0.5204922,0.049914196,0.21051782,0.069692746,0.031294335
300,0.18242544,0.245244,0.14388554,0.14302042,0.0561816,0.22924298
301,0.26982972,0.23400815,0.2189791,0.12890376,0.07828545,0.069993794
302,0.12592569,0.30977726,0.047509015,0.31776184,0.106735155,0.092291035
303,0.18525541,0.11392794,0.099852525,0.033976175,0.51622117,0.050766803
304,0.2817239,0.095491014,0.051954057,0.096426725,0.25960678,0.2147975
305,0.29883373,0.21997388,0.1341827,0.12257822,0.1476922,0.07673924
306,0.16532353,0.08115512,0.50913143,0.10918094,0.038983833,0.09622518
307,0.26168802,0.05136262,0.102456376,0.33470508,0.06519387,0.18459398
308,0.32338873,0.15975343,0.08714498,0.11622021,0.28268078,0.030811794
309,0.12353511,0.2703316,0.06659654,0.20233439,0.2684904,0.068712
310,0.41036946,0.0867014,0.108478725,0.25569993,0.061228603,0.07752189
311,0.1986587,0.062999174,0.22947502,0.3897545,0.06650984,0.05260281
312,0.10482756,0.2853206,0.31248662,0.057978615,0.19207278,0.047313828
313,0.34034157,0.18856548,0.071117915,0.2299308,0.08359036,0.08645395
314,0.23859964,0.17653704,0.18249857,0.19542262,0.11360408,0.09333796
315,0.18656808,0.10280512,0.28339803,0.24484745,0.12046062,0.06192071
316,0.23212716,0.09956508,0.06725324,0.09662328,0.11485297,0.38957825
317,0.19692142,0.28444424,0.047352202,0.05515422,0.2374646,0.17866334
318,0.20881537,0.08322136,0.33754376,0.20678672,0.05197709,0.11165571
319,0.103690185,0.22359133,0.055355236,0.29391348,0.24383776,0.0796121
320,0.22137961,0.09399429,0.425361,0.09955722,0.11497215,0.044735685
321,0.066465884,0.35434717,0.041930072,0.03601588,0.4208163,0.08042472
322,0.21012941,0.18764175,0.210574,0.039853748,0.20691767,0.14488344
323,0.24197344,0.16059972,0.13416338,0.27527076,0.06758482,0.12040789
324,0.08414251,0.31678835,0.20430396,0.08442703,0.26628238,0.044055767
325,0.16214794,0.22309348,0.25901732,0.043411545,0.25220934,0.060120367
326,0.06402232,0.2418851,0.13455911,0.2513324,0.13605681,0.1721443
327,0.20155814,0.1802943,0.041300267,0.25786543,0.19075722,0.12822464
328,0.0832088,0.34685054,0.24234821,0.047927875,0.14772493,0.1319396
329,0.18713456,0.21594599,0.060103208,0.123680845,0.2656215,0.14751388
330,0.26402113,0.08812323,0.1481279,0.25156274,0.12170107,0.12646388
331,0.12315429,0.1845422,0.2259394,0.24289793,0.17054954,0.052916653
332,0.18899441,0.2162489,0.110128485,0.17601593,0.18977927,0.118832916
333,0.20428681,0.2722021,0.31822386,0.03994119,0.12459156,0.040754452
334,0.11807926,0.12800418,0.039286625,0.05666767,0.35208228,0.30587992
335,0.2097472,0.047179054,0.21165352,0.1386642,0.1890162,0.20373985
336,0.22411713,0.15688734,0.06925127,0.13750589,0.21021242,0.20202598
337,0.07024234,0.1502526,0.078262106,0.27443486,0.06088615,0.36592185
338,0.3400577,0.18842809,0.057625007,0.22607037,0.059585594,0.12823321
339,0.10522145,0.40108493,0.08737584,0.036637444,0.17081067,0.1988697
340,0.25548008,0.061496306,0.17502521,0.20669016,0.21448648,0.08682179
341,0.1133587,0.1652635,0.037801236,0.29882365,0.06805962,0.31669325
342,0.2066254,0.27287164,0.09145366,0.030334229,0.35822374,0.04049141
343,0.09275885,0.08608536,0.038549125,0.47317013,0.110732555,0.19870402
344,0.16422345,0.23583771,0.22845036,0.04603679,0.17349471,0.15195699
